Year,Country,Sport,GoldCount,SilverCount,BronzeCount
1908,GBR,Fencing,0,1,0
1908,GBR,Football,1,0,0
1908,GBR,Gymnastics,0,1,0
1908,GBR,Hockey,1,1,0
1908,GBR,Jeu de paume,0,1,1
1908,GBR,Lacrosse,0,1,0
1908,GBR,Polo,1,1,0
1908,GBR,Rackets,2,2,2
1908,GBR,Rowing,4,3,1
1908,GBR,Rugby,0,1,0
1908,GBR,Sailing,4,1,1
1908,GBR,Shooting,6,7,8
1908,GBR,Skating,1,3,3
1908,GBR,Tennis,6,5,4
1908,GBR,Tug of War,1,1,1
1908,GBR,Water Motorsports,2,0,0
1908,GBR,Wrestling,3,4,4
1908,GER,Aquatics,2,1,1
1908,GER,Athletics,0,1,1
1908,GER,Cycling,0,1,1
1908,GER,Rowing,0,0,2
1908,GER,Skating,2,1,1
1908,GER,Tennis,0,1,0
1908,GRE,Athletics,0,3,0
1908,HUN,Aquatics,0,2,0
1908,HUN,Athletics,0,1,1
1908,HUN,Fencing,2,1,0
1908,HUN,Rowing,0,0,1
1908,HUN,Wrestling,1,0,0
1908,ITA,Athletics,0,1,0
1908,ITA,Fencing,0,1,0
1908,ITA,Gymnastics,1,0,0
1908,ITA,Wrestling,1,0,0
1908,NED,Football,0,0,1
1908,NOR,Athletics,0,1,2
1908,NOR,Gymnastics,0,1,0
1908,NOR,Shooting,2,0,1
1908,NOR,Wrestling,0,1,0
1908,RSA,Athletics,1,1,0
1908,RU1,Skating,1,0,0
1908,RU1,Wrestling,0,2,0
1908,SWE,Aquatics,1,1,3
1908,SWE,Athletics,2,0,3
1908,SWE,Gymnastics,1,0,0
1908,SWE,Sailing,0,1,0
1908,SWE,Shooting,2,2,1
1908,SWE,Skating,1,1,1
1908,SWE,Tennis,0,0,2
1908,SWE,Wrestling,1,1,0
1908,USA,Aquatics,1,0,2
1908,USA,Archery,0,0,1
1908,USA,Athletics,15,10,8
1908,USA,Jeu de paume,1,0,0
1908,USA,Shooting,3,2,1
1908,USA,Wrestling,2,0,0
1912,ANZ,Aquatics,2,2,2
1912,ANZ,Tennis,0,0,1
1912,AUT,Aquatics,0,0,1
1912,AUT,Fencing,0,1,1
1912,AUT,Tennis,0,1,0
1912,BEL,Aquatics,0,0,1
1912,BEL,Equestrian,0,0,1
1912,BEL,Fencing,2,0,1
1912,BEL,Rowing,0,1,0
1912,CAN,Aquatics,2,0,0
1912,CAN,Athletics,1,2,2
1912,CAN,Rowing,0,0,1
1912,DEN,Fencing,0,1,0
1912,DEN,Football,0,1,0
1912,DEN,Gymnastics,0,1,1
1912,DEN,Rowing,1,0,1
1912,DEN,Sailing,0,1,0
1912,DEN,Shooting,0,1,2
1912,DEN,Tennis,0,1,0
1912,DEN,Wrestling,0,0,1
1912,FIN,Athletics,6,4,3
1912,FIN,Gymnastics,0,1,0
1912,FIN,Sailing,0,1,2
1912,FIN,Shooting,0,0,2
1912,FIN,Wrestling,3,2,2
1912,FRA,Athletics,0,2,0
1912,FRA,Equestrian,1,1,1
1912,FRA,Gymnastics,0,1,0
1912,FRA,Sailing,1,0,0
1912,FRA,Shooting,2,0,0
1912,FRA,Tennis,3,0,3
1912,GBR,Aquatics,2,2,4
1912,GBR,Athletics,2,1,5
1912,GBR,Cycling,0,2,0
1912,GBR,Fencing,0,1,0
1912,GBR,Football,1,0,0
1912,GBR,Gymnastics,0,0,1
1912,GBR,Rowing,2,2,0
1912,GBR,Shooting,1,4,4
1912,GBR,Tennis,3,3,2
1912,GBR,Tug of War,0,1,0
1912,GER,Aquatics,3,5,3
1912,GER,Athletics,0,2,0
1912,GER,Equestrian,0,3,1
1912,GER,Rowing,1,0,1
1912,GER,Shooting,0,1,1
1912,GER,Tennis,2,1,1
1912,GER,Wrestling,0,1,0
1912,GRE,Athletics,1,0,1
1912,HUN,Athletics,0,0,1
1912,HUN,Fencing,2,1,1
1912,HUN,Gymnastics,0,1,0
1912,HUN,Shooting,1,0,0
1912,HUN,Wrestling,0,0,1
1912,ITA,Athletics,0,0,1
1912,ITA,Fencing,1,1,0
1912,ITA,Gymnastics,2,0,1
1912,NED,Fencing,0,0,2
1912,NED,Football,0,0,1
1912,NOR,Athletics,1,0,0
1912,NOR,Gymnastics,1,0,1
1912,NOR,Rowing,0,0,1
1912,NOR,Sailing,2,0,0
1912,NOR,Shooting,0,1,1
1912,NOR,Tennis,0,0,1
1912,RSA,Athletics,1,1,0
1912,RSA,Cycling,1,0,0
1912,RSA,Tennis,2,1,0
1912,RU1,Rowing,0,0,1
1912,RU1,Sailing,0,0,1
1912,RU1,Shooting,0,1,1
1912,RU1,Wrestling,0,1,0
1912,SWE,Aquatics,3,4,2
1912,SWE,Athletics,4,5,6
1912,SWE,Cycling,1,0,0
1912,SWE,Equestrian,4,1,1
1912,SWE,Gymnastics,1,0,0
1912,SWE,Modern Pentathlon,1,1,1
1912,SWE,Rowing,0,1,0
1912,SWE,Sailing,1,2,1
1912,SWE,Shooting,7,6,4
1912,SWE,Tennis,0,3,2
1912,SWE,Tug of War,1,0,0
1912,SWE,Wrestling,1,2,1
1912,USA,Aquatics,2,1,1
1912,USA,Athletics,16,13,12
1912,USA,Cycling,0,0,2
1912,USA,Equestrian,0,0,1
1912,USA,Shooting,7,4,3
1920,AUS,Aquatics,0,1,1
1920,AUS,Athletics,0,1,0
1920,BEL,Aquatics,0,1,1
1920,BEL,Archery,8,4,2
1920,BEL,Cycling,1,0,1
1920,BEL,Equestrian,2,1,2
1920,BEL,Fencing,0,1,0
1920,BEL,Football,1,0,0
1920,BEL,Gymnastics,0,1,1
1920,BEL,Hockey,0,0,1
1920,BEL,Sailing,1,1,1
1920,BEL,Shooting,0,1,0
1920,BEL,Tug of War,0,0,1
1920,BEL,Weightlifting,1,1,1
1920,BRA,Shooting,1,1,1
1920,CAN,Aquatics,0,1,1
1920,CAN,Athletics,1,0,0
1920,CAN,Boxing,1,2,2
1920,CAN,Ice Hockey,1,0,0
1920,DEN,Aquatics,1,0,0
1920,DEN,Athletics,0,1,0
1920,DEN,Boxing,0,3,0
1920,DEN,Gymnastics,1,1,0
1920,DEN,Hockey,0,1,0
1920,DEN,Shooting,1,2,0
1920,DEN,Wrestling,0,1,1
1920,ESP,Football,0,1,0
1920,ESP,Polo,0,1,0
1920,EST,Athletics,0,1,0
1920,EST,Weightlifting,1,1,0
1920,FIN,Aquatics,0,0,2
1920,FIN,Athletics,9,4,3
1920,FIN,Shooting,0,1,2
1920,FIN,Skating,2,0,0
1920,FIN,Wrestling,5,5,2
1920,FRA,Archery,1,4,1
1920,FRA,Athletics,1,2,1
1920,FRA,Boxing,1,1,1
1920,FRA,Cycling,1,0,1
1920,FRA,Equestrian,0,2,0
1920,FRA,Fencing,1,4,3
1920,FRA,Gymnastics,0,1,2
1920,FRA,Rowing,0,1,1
1920,FRA,Rugby,0,1,0
1920,FRA,Sailing,0,1,0
1920,FRA,Shooting,0,2,0
1920,FRA,Tennis,3,0,2
1920,FRA,Weightlifting,2,0,1
1920,GBR,Aquatics,1,2,1
1920,GBR,Athletics,4,4,4
1920,GBR,Boxing,2,1,3
1920,GBR,Cycling,1,3,1
1920,GBR,Hockey,1,0,0
1920,GBR,Polo,1,0,0
1920,GBR,Rowing,0,2,0
1920,GBR,Sailing,3,0,0
1920,GBR,Skating,0,0,2
1920,GBR,Tennis,2,4,1
1920,GBR,Tug of War,1,0,0
1920,GBR,Wrestling,0,0,2
1920,GRE,Shooting,0,1,0
1920,ITA,Athletics,2,0,2
1920,ITA,Boxing,0,0,1
1920,ITA,Cycling,1,0,0
1920,ITA,Equestrian,1,2,1
1920,ITA,Fencing,5,1,0
1920,ITA,Gymnastics,2,0,0
1920,ITA,Rowing,1,1,0
1920,ITA,Weightlifting,1,1,0
1920,JPN,Tennis,0,2,0
1920,LUX,Weightlifting,0,1,0
1920,NED,Archery,1,0,0
1920,NED,Cycling,1,0,2
1920,NED,Fencing,0,0,2
1920,NED,Football,0,0,1
1920,NED,Sailing,2,1,0
1920,NED,Tug of War,0,1,0
1920,NOR,Athletics,1,0,0
1920,NOR,Boxing,0,1,0
1920,NOR,Gymnastics,0,1,0
1920,NOR,Rowing,0,0,2
1920,NOR,Sailing,7,4,1
1920,NOR,Shooting,5,2,4
1920,NOR,Skating,0,3,1
1920,NOR,Wrestling,0,0,1
1920,NZL,Rowing,0,0,1
1920,RSA,Athletics,1,1,1
1920,RSA,Boxing,1,0,0
1920,RSA,Cycling,0,2,1
1920,RSA,Shooting,0,1,0
1920,RSA,Tennis,1,0,1
1920,SUI,Rowing,1,0,1
1920,SUI,Shooting,0,0,5
1920,SUI,Weightlifting,0,1,1
1920,SUI,Wrestling,1,1,0
1920,SWE,Aquatics,3,4,4
1920,SWE,Athletics,1,3,10
1920,SWE,Cycling,1,1,0
1920,SWE,Equestrian,3,0,2
1920,SWE,Gymnastics,1,0,0
1920,SWE,Modern Pentathlon,1,1,1
1920,SWE,Sailing,2,1,0
1920,SWE,Shooting,1,6,3
1920,SWE,Skating,2,1,0
1920,SWE,Weightlifting,0,0,2
1920,SWE,Wrestling,3,1,2
1920,TCH,Ice Hockey,0,0,1
1920,TCH,Tennis,0,0,2
1920,USA,Aquatics,11,7,6
1920,USA,Athletics,9,12,8
1920,USA,Boxing,3,0,1
1920,USA,Fencing,0,0,1
1920,USA,Ice Hockey,0,1,0
1920,USA,Polo,0,0,1
1920,USA,Rowing,3,1,0
1920,USA,Rugby,1,0,0
1920,USA,Shooting,13,4,6
1920,USA,Skating,0,0,1
1920,USA,Wrestling,1,2,3
1924,ARG,Athletics,0,1,0
1924,ARG,Boxing,0,2,2
1924,ARG,Polo,1,0,0
1924,AUS,Aquatics,2,1,2
1924,AUS,Athletics,1,0,0
1924,AUT,Weightlifting,0,3,1
1924,BEL,Aquatics,0,2,0
1924,BEL,Boxing,1,0,1
1924,BEL,Cycling,0,2,1
1924,BEL,Fencing,1,2,1
1924,BEL,Sailing,1,0,0
1924,BEL,Wrestling,0,1,0
1924,CAN,Boxing,0,0,1
1924,CAN,Rowing,0,2,0
1924,CAN,Shooting,0,1,0
1924,DEN,Boxing,1,2,0
1924,DEN,Cycling,0,1,0
1924,DEN,Equestrian,0,1,0
1924,DEN,Fencing,1,0,1
1924,DEN,Sailing,0,1,0
1924,DEN,Shooting,0,0,1
1924,EST,Athletics,0,0,1
1924,EST,Weightlifting,0,1,2
1924,EST,Wrestling,1,0,1
1924,FIN,Athletics,10,5,2
1924,FIN,Sailing,0,0,1
1924,FIN,Shooting,0,1,2
1924,FIN,Wrestling,4,7,5
1924,FRA,Aquatics,1,0,0
1924,FRA,Athletics,0,0,3
1924,FRA,Boxing,0,0,1
1924,FRA,Cycling,4,0,2
1924,FRA,Equestrian,0,0,1
1924,FRA,Fencing,3,3,0
1924,FRA,Gymnastics,1,3,1
1924,FRA,Rowing,0,3,0
1924,FRA,Rugby,0,1,0
1924,FRA,Sailing,0,0,1
1924,FRA,Shooting,1,1,0
1924,FRA,Tennis,0,3,1
1924,FRA,Weightlifting,2,0,0
1924,FRA,Wrestling,1,0,0
1924,GBR,Aquatics,1,2,2
1924,GBR,Athletics,3,3,5
1924,GBR,Boxing,2,2,0
1924,GBR,Cycling,0,1,1
1924,GBR,Fencing,0,1,0
1924,GBR,Polo,0,0,1
1924,GBR,Rowing,2,0,0
1924,GBR,Sailing,0,1,0
1924,GBR,Shooting,1,2,0
1924,GBR,Tennis,0,1,2
1924,GBR,Wrestling,0,0,1
1924,HAI,Shooting,0,0,1
1924,HUN,Aquatics,0,0,1
1924,HUN,Athletics,0,1,0
1924,HUN,Fencing,1,1,2
1924,HUN,Shooting,1,0,0
1924,HUN,Wrestling,0,1,1
1924,ITA,Athletics,1,1,0
1924,ITA,Cycling,1,0,0
1924,ITA,Equestrian,0,1,1
1924,ITA,Fencing,1,0,1
1924,ITA,Gymnastics,2,0,1
1924,ITA,Rowing,0,1,1
1924,ITA,Tennis,0,0,1
1924,ITA,Weightlifting,3,0,0
1924,JPN,Wrestling,0,0,1
1924,NED,Athletics,0,0,1
1924,NED,Cycling,1,1,1
1924,NED,Equestrian,2,0,0
1924,NED,Fencing,0,0,1
1924,NED,Rowing,1,0,0
1924,NED,Sailing,0,0,1
1924,NED,Tennis,0,0,2
1924,NOR,Athletics,0,0,1
1924,NOR,Boxing,1,0,1
1924,NOR,Sailing,2,1,0
1924,NOR,Shooting,2,1,1
1924,NZL,Athletics,0,0,1
1924,POL,Cycling,0,1,0
1924,POL,Equestrian,0,0,1
1924,POR,Equestrian,0,0,1
1924,ROU,Rugby,0,0,1
1924,RSA,Athletics,0,1,1
1924,RSA,Boxing,1,0,0
1924,SUI,Athletics,0,2,0
1924,SUI,Equestrian,1,1,0
1924,SUI,Football,0,1,0
1924,SUI,Gymnastics,2,2,3
1924,SUI,Rowing,2,0,3
1924,SUI,Shooting,0,0,1
1924,SUI,Weightlifting,0,1,1
1924,SUI,Wrestling,2,1,2
1924,SWE,Aquatics,0,3,3
1924,SWE,Athletics,0,3,2
1924,SWE,Cycling,0,0,1
1924,SWE,Equestrian,2,3,0
1924,SWE,Fencing,0,0,1
1924,SWE,Football,0,0,1
1924,SWE,Modern Pentathlon,1,1,1
1924,SWE,Shooting,0,2,2
1924,SWE,Wrestling,1,2,1
1924,TCH,Gymnastics,1,4,4
1924,TCH,Weightlifting,0,0,1
1924,URU,Football,1,0,0
1924,USA,Aquatics,13,9,9
1924,USA,Athletics,12,10,10
1924,USA,Boxing,2,2,2
1924,USA,Equestrian,0,0,1
1924,USA,Gymnastics,1,0,0
1924,USA,Polo,0,1,0
1924,USA,Rowing,2,1,2
1924,USA,Rugby,1,0,0
1924,USA,Shooting,5,2,2
1924,USA,Tennis,6,2,0
1924,USA,Wrestling,4,1,1
1924,YUG,Gymnastics,2,0,0
1928,ARG,Aquatics,1,0,0
1928,ARG,Boxing,2,2,0
1928,ARG,Fencing,0,0,1
1928,ARG,Football,0,1,0
1928,AUS,Aquatics,0,2,0
1928,AUS,Cycling,0,0,1
1928,AUS,Rowing,1,0,0
1928,AUT,Rowing,0,0,1
1928,AUT,Weightlifting,2,0,0
1928,BEL,Boxing,0,0,1
1928,BEL,Rowing,0,0,1
1928,BEL,Wrestling,0,1,0
1928,CAN,Aquatics,0,0,1
1928,CAN,Athletics,4,2,2
1928,CAN,Boxing,0,0,1
1928,CAN,Rowing,0,1,1
1928,CAN,Wrestling,0,1,2
1928,CHI,Athletics,0,1,0
1928,DEN,Boxing,0,0,1
1928,DEN,Cycling,3,0,2
1928,DEN,Sailing,0,1,0
1928,EGY,Aquatics,0,1,1
1928,EGY,Weightlifting,1,0,0
1928,EGY,Wrestling,1,0,0
1928,ESP,Equestrian,1,0,0
1928,EST,Sailing,0,0,1
1928,EST,Weightlifting,0,1,0
1928,EST,Wrestling,2,0,1
1928,FIN,Athletics,5,5,4
1928,FIN,Gymnastics,0,0,1
1928,FIN,Sailing,0,0,1
1928,FIN,Wrestling,3,3,3
1928,FRA,Aquatics,0,0,1
1928,FRA,Athletics,1,1,1
1928,FRA,Boxing,0,1,0
1928,FRA,Cycling,2,0,0
1928,FRA,Equestrian,0,2,0
1928,FRA,Fencing,2,2,0
1928,FRA,Rowing,0,1,0
1928,FRA,Sailing,1,0,0
1928,FRA,Weightlifting,1,1,1
1928,FRA,Wrestling,0,1,2
1928,GBR,Aquatics,0,2,2
1928,GBR,Athletics,2,2,1
1928,GBR,Cycling,0,3,1
1928,GBR,Fencing,0,1,0
1928,GBR,Gymnastics,0,0,1
1928,GBR,Rowing,1,2,1
1928,GBR,Wrestling,0,0,1
1928,GER,Aquatics,2,1,1
1928,GER,Athletics,1,2,6
1928,GER,Boxing,0,1,0
1928,GER,Cycling,0,0,1
1928,GER,Equestrian,2,0,1
1928,GER,Fencing,1,1,1
1928,GER,Hockey,0,0,1
1928,GER,Modern Pentathlon,0,0,1
1928,GER,Rowing,1,0,0
1928,GER,Weightlifting,2,0,1
1928,GER,Wrestling,1,2,1
1928,HAI,Athletics,0,1,0
1928,HUN,Aquatics,0,2,0
1928,HUN,Athletics,0,1,0
1928,HUN,Boxing,1,0,0
1928,HUN,Fencing,2,1,0
1928,HUN,Wrestling,1,1,0
1928,IND,Hockey,1,0,0
1928,IRL,Athletics,1,0,0
1928,ITA,Boxing,3,0,1
1928,ITA,Cycling,1,0,0
1928,ITA,Fencing,1,1,2
1928,ITA,Football,0,0,1
1928,ITA,Gymnastics,0,2,0
1928,ITA,Rowing,1,0,1
1928,ITA,Weightlifting,0,2,0
1928,ITA,Wrestling,0,0,2
1928,JPN,Aquatics,1,1,1
1928,JPN,Athletics,1,1,0
1928,NED,Aquatics,1,2,0
1928,NED,Athletics,0,1,0
1928,NED,Boxing,1,0,1
1928,NED,Cycling,1,4,0
1928,NED,Equestrian,2,1,1
1928,NED,Gymnastics,1,0,0
1928,NED,Hockey,0,1,0
1928,NED,Sailing,0,1,0
1928,NED,Weightlifting,0,0,2
1928,NOR,Athletics,0,0,1
1928,NOR,Equestrian,0,1,0
1928,NOR,Sailing,1,1,0
1928,NZL,Boxing,1,0,0
1928,PHI,Aquatics,0,0,1
1928,POL,Athletics,1,0,0
1928,POL,Equestrian,0,1,1
1928,POL,Fencing,0,0,1
1928,POL,Rowing,0,0,1
1928,RSA,Aquatics,0,0,1
1928,RSA,Athletics,1,0,0
1928,RSA,Boxing,0,0,1
1928,SUI,Equestrian,0,0,2
1928,SUI,Gymnastics,5,2,2
1928,SUI,Rowing,1,1,0
1928,SUI,Wrestling,1,1,1
1928,SWE,Aquatics,1,0,2
1928,SWE,Athletics,1,2,4
1928,SWE,Boxing,0,1,1
1928,SWE,Cycling,0,0,2
1928,SWE,Equestrian,0,1,2
1928,SWE,Modern Pentathlon,1,1,0
1928,SWE,Sailing,1,0,1
1928,SWE,Wrestling,3,1,0
1928,TCH,Boxing,0,1,0
1928,TCH,Equestrian,1,0,0
1928,TCH,Gymnastics,1,3,1
1928,TCH,Weightlifting,0,0,1
1928,TCH,Wrestling,0,1,0
1928,URU,Football,1,0,0
1928,USA,Aquatics,10,5,5
1928,USA,Athletics,9,8,8
1928,USA,Boxing,0,2,1
1928,USA,Fencing,0,0,1
1928,USA,Rowing,2,2,1
1928,USA,Wrestling,1,1,0
1928,YUG,Gymnastics,1,1,3
1932,ARG,Athletics,1,0,0
1932,ARG,Boxing,2,1,0
1932,AUS,Aquatics,1,1,0
1932,AUS,Cycling,1,0,0
1932,AUS,Rowing,1,0,0
1932,AUS,Wrestling,0,0,1
1932,AUT,Fencing,1,0,0
1932,AUT,Weightlifting,0,1,1
1932,AUT,Wrestling,0,0,2
1932,CAN,Athletics,1,3,5
1932,CAN,Boxing,1,0,0
1932,CAN,Rowing,0,0,2
1932,CAN,Sailing,0,1,1
1932,CAN,Wrestling,0,1,0
1932,DEN,Aquatics,0,0,1
1932,DEN,Boxing,0,0,1
1932,DEN,Cycling,0,1,1
1932,DEN,Weightlifting,0,1,0
1932,DEN,Wrestling,0,1,0
1932,ESP,Sailing,0,0,1
1932,FIN,Athletics,3,4,4
1932,FIN,Boxing,0,0,1
1932,FIN,Gymnastics,0,1,4
1932,FIN,Wrestling,2,3,3
1932,FRA,Aquatics,0,1,0
1932,FRA,Athletics,0,0,1
1932,FRA,Cycling,1,2,1
1932,FRA,Equestrian,2,1,0
1932,FRA,Fencing,2,1,0
1932,FRA,Rowing,0,0,1
1932,FRA,Sailing,1,0,0
1932,FRA,Weightlifting,3,0,0
1932,FRA,Wrestling,1,0,1
1932,GBR,Aquatics,0,0,2
1932,GBR,Athletics,2,4,2
1932,GBR,Cycling,0,1,1
1932,GBR,Fencing,0,1,0
1932,GBR,Rowing,2,0,0
1932,GBR,Sailing,0,1,0
1932,GER,Aquatics,0,1,0
1932,GER,Athletics,0,2,3
1932,GER,Boxing,0,3,0
1932,GER,Rowing,1,2,0
1932,GER,Shooting,0,1,0
1932,GER,Weightlifting,1,1,1
1932,GER,Wrestling,1,2,1
1932,HUN,Aquatics,1,0,1
1932,HUN,Boxing,1,0,0
1932,HUN,Fencing,2,0,2
1932,HUN,Gymnastics,2,2,0
1932,HUN,Shooting,0,0,1
1932,HUN,Wrestling,0,2,1
1932,IND,Hockey,1,0,0
1932,IRL,Athletics,2,0,0
1932,ITA,Athletics,1,0,2
1932,ITA,Boxing,0,2,0
1932,ITA,Cycling,3,1,1
1932,ITA,Fencing,2,4,2
1932,ITA,Gymnastics,4,1,2
1932,ITA,Rowing,0,2,1
1932,ITA,Shooting,1,0,1
1932,ITA,Weightlifting,0,1,1
1932,ITA,Wrestling,1,1,2
1932,JPN,Aquatics,5,5,2
1932,JPN,Athletics,1,1,2
1932,JPN,Equestrian,1,0,0
1932,JPN,Hockey,0,1,0
1932,LAT,Athletics,0,1,0
1932,MEX,Boxing,0,1,0
1932,MEX,Shooting,0,1,0
1932,NED,Aquatics,0,2,0
1932,NED,Cycling,1,1,0
1932,NED,Equestrian,1,1,0
1932,NED,Sailing,0,1,0
1932,NZL,Rowing,0,1,0
1932,PHI,Aquatics,0,0,1
1932,PHI,Athletics,0,0,1
1932,PHI,Boxing,0,0,1
1932,POL,Athletics,2,0,1
1932,POL,Fencing,0,0,1
1932,POL,Rowing,0,1,2
1932,RSA,Aquatics,0,0,1
1932,RSA,Athletics,0,0,1
1932,RSA,Boxing,2,0,1
1932,SUI,Gymnastics,0,1,0
1932,SWE,Athletics,0,1,0
