Year,Country,Sport,Discipline,GoldCount,SilverCount,BronzeCount
1904,USA,Roque,Roque,1,1,1
1904,USA,Rowing,Rowing,5,4,4
1904,USA,Tennis,Tennis,2,2,2
1904,USA,Tug of War,Tug of War,1,1,1
1904,USA,Weightlifting,Weightlifting,1,2,2
1904,USA,Wrestling,Wrestling Free.,7,7,7
1904,ZZX,Athletics,Athletics,0,1,0
1904,ZZX,Fencing,Fencing,1,0,0
1908,ANZ,Aquatics,Swimming,0,1,1
1908,ANZ,Athletics,Athletics,0,0,1
1908,ANZ,Boxing,Boxing,0,1,0
1908,ANZ,Rugby,Rugby,1,0,0
1908,AUT,Aquatics,Swimming,0,0,1
1908,BEL,Aquatics,Water polo,0,1,0
1908,BEL,Cycling,Cycling Track,0,0,1
1908,BEL,Fencing,Fencing,0,0,1
1908,BEL,Rowing,Rowing,0,1,0
1908,BEL,Sailing,Sailing,0,1,0
1908,BEL,Shooting,Shooting,1,2,0
1908,BOH,Fencing,Fencing,0,0,2
1908,CAN,Athletics,Athletics,1,1,4
1908,CAN,Cycling,Cycling Track,0,0,1
1908,CAN,Lacrosse,Lacrosse,1,0,0
1908,CAN,Rowing,Rowing,0,0,2
1908,CAN,Shooting,Shooting,1,2,1
1908,CAN,Wrestling,Wrestling Free.,0,0,1
1908,DEN,Aquatics,Swimming,0,1,0
1908,DEN,Football,Football,0,1,0
1908,DEN,Wrestling,Wrestling Gre-R,0,0,3
1908,FIN,Athletics,Athletics,0,0,1
1908,FIN,Gymnastics,Artistic G.,0,0,1
1908,FIN,Wrestling,Wrestling Gre-R,1,1,1
1908,FRA,Archery,Archery,1,1,1
1908,FRA,Athletics,Athletics,0,1,1
1908,FRA,Cycling,Cycling Track,1,2,2
1908,FRA,Fencing,Fencing,2,1,1
1908,FRA,Gymnastics,Artistic G.,0,0,1
1908,FRA,Sailing,Sailing,0,0,1
1908,FRA,Shooting,Shooting,0,0,2
1908,FRA,Water Motorsports,Water Motorspor,1,0,0
1908,GBR,Aquatics,Swimming,4,2,1
1908,GBR,Aquatics,Water polo,1,0,0
1908,GBR,Archery,Archery,2,2,1
1908,GBR,Athletics,Athletics,7,7,3
1908,GBR,Boxing,Boxing,5,4,5
1908,GBR,Cycling,Cycling Track,5,3,1
1908,GBR,Fencing,Fencing,0,1,0
1908,GBR,Football,Football,1,0,0
1908,GBR,Gymnastics,Artistic G.,0,1,0
1908,GBR,Hockey,Hockey,1,1,0
1908,GBR,Jeu de paume,Jeu de Paume,0,1,1
1908,GBR,Lacrosse,Lacrosse,0,1,0
1908,GBR,Polo,Polo,1,1,0
1908,GBR,Rackets,Rackets,2,2,2
1908,GBR,Rowing,Rowing,4,3,1
1908,GBR,Rugby,Rugby,0,1,0
1908,GBR,Sailing,Sailing,4,1,1
1908,GBR,Shooting,Shooting,6,7,8
1908,GBR,Skating,Figure skating,1,3,3
1908,GBR,Tennis,Tennis,6,5,4
1908,GBR,Tug of War,Tug of War,1,1,1
1908,GBR,Water Motorsports,Water Motorspor,2,0,0
1908,GBR,Wrestling,Wrestling Free.,3,4,4
1908,GER,Aquatics,Diving,1,1,1
1908,GER,Aquatics,Swimming,1,0,0
1908,GER,Athletics,Athletics,0,1,1
1908,GER,Cycling,Cycling Track,0,1,1
1908,GER,Rowing,Rowing,0,0,2
1908,GER,Skating,Figure skating,2,1,1
1908,GER,Tennis,Tennis,0,1,0
1908,GRE,Athletics,Athletics,0,3,0
1908,HUN,Aquatics,Swimming,0,2,0
1908,HUN,Athletics,Athletics,0,1,1
1908,HUN,Fencing,Fencing,2,1,0
1908,HUN,Rowing,Rowing,0,0,1
1908,HUN,Wrestling,Wrestling Gre-R,1,0,0
1908,ITA,Athletics,Athletics,0,1,0
1908,ITA,Fencing,Fencing,0,1,0
1908,ITA,Gymnastics,Artistic G.,1,0,0
1908,ITA,Wrestling,Wrestling Gre-R,1,0,0
1908,NED,Football,Football,0,0,1
1908,NOR,Athletics,Athletics,0,1,2
1908,NOR,Gymnastics,Artistic G.,0,1,0
1908,NOR,Shooting,Shooting,2,0,1
1908,NOR,Wrestling,Wrestling Free.,0,1,0
1908,RSA,Athletics,Athletics,1,1,0
1908,RU1,Skating,Figure skating,1,0,0
1908,RU1,Wrestling,Wrestling Gre-R,0,2,0
1908,SWE,Aquatics,Diving,1,1,1
1908,SWE,Aquatics,Swimming,0,0,2
1908,SWE,Athletics,Athletics,2,0,3
1908,SWE,Gymnastics,Artistic G.,1,0,0
1908,SWE,Sailing,Sailing,0,1,0
1908,SWE,Shooting,Shooting,2,2,1
1908,SWE,Skating,Figure skating,1,1,1
1908,SWE,Tennis,Tennis,0,0,2
1908,SWE,Wrestling,Wrestling Gre-R,1,1,0
1908,USA,Aquatics,Diving,0,0,1
1908,USA,Aquatics,Swimming,1,0,1
1908,USA,Archery,Archery,0,0,1
1908,USA,Athletics,Athletics,15,10,8
1908,USA,Jeu de paume,Jeu de Paume,1,0,0
1908,USA,Shooting,Shooting,3,2,1
1908,USA,Wrestling,Wrestling Free.,2,0,0
1912,ANZ,Aquatics,Swimming,2,2,2
1912,ANZ,Tennis,Tennis,0,0,1
1912,AUT,Aquatics,Swimming,0,0,1
1912,AUT,Fencing,Fencing,0,1,1
1912,AUT,Tennis,Tennis,0,1,0
1912,BEL,Aquatics,Water polo,0,0,1
1912,BEL,Equestrian,Jumping,0,0,1
1912,BEL,Fencing,Fencing,2,0,1
1912,BEL,Rowing,Rowing,0,1,0
1912,CAN,Aquatics,Swimming,2,0,0
1912,CAN,Athletics,Athletics,1,2,2
1912,CAN,Rowing,Rowing,0,0,1
1912,DEN,Fencing,Fencing,0,1,0
1912,DEN,Football,Football,0,1,0
1912,DEN,Gymnastics,Artistic G.,0,1,1
1912,DEN,Rowing,Rowing,1,0,1
1912,DEN,Sailing,Sailing,0,1,0
1912,DEN,Shooting,Shooting,0,1,2
1912,DEN,Tennis,Tennis,0,1,0
1912,DEN,Wrestling,Wrestling Gre-R,0,0,1
1912,FIN,Athletics,Athletics,6,4,3
1912,FIN,Gymnastics,Artistic G.,0,1,0
1912,FIN,Sailing,Sailing,0,1,2
1912,FIN,Shooting,Shooting,0,0,2
1912,FIN,Wrestling,Wrestling Gre-R,3,2,2
1912,FRA,Athletics,Athletics,0,2,0
1912,FRA,Equestrian,Eventing,0,0,1
1912,FRA,Equestrian,Jumping,1,1,0
1912,FRA,Gymnastics,Artistic G.,0,1,0
1912,FRA,Sailing,Sailing,1,0,0
1912,FRA,Shooting,Shooting,2,0,0
1912,FRA,Tennis,Tennis,3,0,3
1912,GBR,Aquatics,Diving,0,0,1
1912,GBR,Aquatics,Swimming,1,2,3
1912,GBR,Aquatics,Water polo,1,0,0
1912,GBR,Athletics,Athletics,2,1,5
1912,GBR,Cycling,Cycling Road,0,2,0
1912,GBR,Fencing,Fencing,0,1,0
1912,GBR,Football,Football,1,0,0
1912,GBR,Gymnastics,Artistic G.,0,0,1
1912,GBR,Rowing,Rowing,2,2,0
1912,GBR,Shooting,Shooting,1,4,4
1912,GBR,Tennis,Tennis,3,3,2
1912,GBR,Tug of War,Tug of War,0,1,0
1912,GER,Aquatics,Diving,1,2,1
1912,GER,Aquatics,Swimming,2,3,2
1912,GER,Athletics,Athletics,0,2,0
1912,GER,Equestrian,Eventing,0,2,0
1912,GER,Equestrian,Jumping,0,1,1
1912,GER,Rowing,Rowing,1,0,1
1912,GER,Shooting,Shooting,0,1,1
1912,GER,Tennis,Tennis,2,1,1
1912,GER,Wrestling,Wrestling Gre-R,0,1,0
1912,GRE,Athletics,Athletics,1,0,1
1912,HUN,Athletics,Athletics,0,0,1
1912,HUN,Fencing,Fencing,2,1,1
1912,HUN,Gymnastics,Artistic G.,0,1,0
1912,HUN,Shooting,Shooting,1,0,0
1912,HUN,Wrestling,Wrestling Gre-R,0,0,1
1912,ITA,Athletics,Athletics,0,0,1
1912,ITA,Fencing,Fencing,1,1,0
1912,ITA,Gymnastics,Artistic G.,2,0,1
1912,NED,Fencing,Fencing,0,0,2
1912,NED,Football,Football,0,0,1
1912,NOR,Athletics,Athletics,1,0,0
1912,NOR,Gymnastics,Artistic G.,1,0,1
1912,NOR,Rowing,Rowing,0,0,1
1912,NOR,Sailing,Sailing,2,0,0
1912,NOR,Shooting,Shooting,0,1,1
1912,NOR,Tennis,Tennis,0,0,1
1912,RSA,Athletics,Athletics,1,1,0
1912,RSA,Cycling,Cycling Road,1,0,0
1912,RSA,Tennis,Tennis,2,1,0
1912,RU1,Rowing,Rowing,0,0,1
1912,RU1,Sailing,Sailing,0,0,1
1912,RU1,Shooting,Shooting,0,1,1
1912,RU1,Wrestling,Wrestling Gre-R,0,1,0
1912,SWE,Aquatics,Diving,3,2,2
1912,SWE,Aquatics,Swimming,0,1,0
1912,SWE,Aquatics,Water polo,0,1,0
1912,SWE,Athletics,Athletics,4,5,6
1912,SWE,Cycling,Cycling Road,1,0,0
1912,SWE,Equestrian,Dressage,1,1,1
1912,SWE,Equestrian,Eventing,2,0,0
1912,SWE,Equestrian,Jumping,1,0,0
1912,SWE,Gymnastics,Artistic G.,1,0,0
1912,SWE,Modern Pentathlon,Modern Pentath.,1,1,1
1912,SWE,Rowing,Rowing,0,1,0
1912,SWE,Sailing,Sailing,1,2,1
1912,SWE,Shooting,Shooting,7,6,4
1912,SWE,Tennis,Tennis,0,3,2
1912,SWE,Tug of War,Tug of War,1,0,0
1912,SWE,Wrestling,Wrestling Gre-R,1,2,1
1912,USA,Aquatics,Swimming,2,1,1
1912,USA,Athletics,Athletics,16,13,12
1912,USA,Cycling,Cycling Road,0,0,2
1912,USA,Equestrian,Eventing,0,0,1
1912,USA,Shooting,Shooting,7,4,3
1920,AUS,Aquatics,Swimming,0,1,1
1920,AUS,Athletics,Athletics,0,1,0
1920,BEL,Aquatics,Swimming,0,0,1
1920,BEL,Aquatics,Water polo,0,1,0
1920,BEL,Archery,Archery,8,4,2
1920,BEL,Cycling,Cycling Road,0,0,1
1920,BEL,Cycling,Cycling Track,1,0,0
1920,BEL,Equestrian,Eventing,0,0,1
1920,BEL,Equestrian,Jumping,0,1,0
1920,BEL,Equestrian,Vaulting,2,0,1
1920,BEL,Fencing,Fencing,0,1,0
1920,BEL,Football,Football,1,0,0
1920,BEL,Gymnastics,Artistic G.,0,1,1
1920,BEL,Hockey,Hockey,0,0,1
1920,BEL,Sailing,Sailing,1,1,1
1920,BEL,Shooting,Shooting,0,1,0
1920,BEL,Tug of War,Tug of War,0,0,1
1920,BEL,Weightlifting,Weightlifting,1,1,1
1920,BRA,Shooting,Shooting,1,1,1
1920,CAN,Aquatics,Swimming,0,1,1
1920,CAN,Athletics,Athletics,1,0,0
1920,CAN,Boxing,Boxing,1,2,2
1920,CAN,Ice Hockey,Ice Hockey,1,0,0
1920,DEN,Aquatics,Diving,1,0,0
1920,DEN,Athletics,Athletics,0,1,0
1920,DEN,Boxing,Boxing,0,3,0
1920,DEN,Gymnastics,Artistic G.,1,1,0
1920,DEN,Hockey,Hockey,0,1,0
1920,DEN,Shooting,Shooting,1,2,0
1920,DEN,Wrestling,Wrestling Gre-R,0,1,1
1920,ESP,Football,Football,0,1,0
1920,ESP,Polo,Polo,0,1,0
1920,EST,Athletics,Athletics,0,1,0
1920,EST,Weightlifting,Weightlifting,1,1,0
1920,FIN,Aquatics,Swimming,0,0,2
1920,FIN,Athletics,Athletics,9,4,3
1920,FIN,Shooting,Shooting,0,1,2
1920,FIN,Skating,Figure skating,2,0,0
1920,FIN,Wrestling,Wrestling Free.,2,1,0
1920,FIN,Wrestling,Wrestling Gre-R,3,4,2
1920,FRA,Archery,Archery,1,4,1
1920,FRA,Athletics,Athletics,1,2,1
1920,FRA,Boxing,Boxing,1,1,1
1920,FRA,Cycling,Cycling Road,1,0,1
1920,FRA,Equestrian,Vaulting,0,2,0
1920,FRA,Fencing,Fencing,1,4,3
1920,FRA,Gymnastics,Artistic G.,0,1,2
1920,FRA,Rowing,Rowing,0,1,1
1920,FRA,Rugby,Rugby,0,1,0
1920,FRA,Sailing,Sailing,0,1,0
1920,FRA,Shooting,Shooting,0,2,0
1920,FRA,Tennis,Tennis,3,0,2
1920,FRA,Weightlifting,Weightlifting,2,0,1
1920,GBR,Aquatics,Diving,0,1,0
1920,GBR,Aquatics,Swimming,0,1,1
1920,GBR,Aquatics,Water polo,1,0,0
1920,GBR,Athletics,Athletics,4,4,4
1920,GBR,Boxing,Boxing,2,1,3
1920,GBR,Cycling,Cycling Track,1,3,1
1920,GBR,Hockey,Hockey,1,0,0
1920,GBR,Polo,Polo,1,0,0
1920,GBR,Rowing,Rowing,0,2,0
1920,GBR,Sailing,Sailing,3,0,0
1920,GBR,Skating,Figure skating,0,0,2
1920,GBR,Tennis,Tennis,2,4,1
1920,GBR,Tug of War,Tug of War,1,0,0
1920,GBR,Wrestling,Wrestling Free.,0,0,2
1920,GRE,Shooting,Shooting,0,1,0
1920,ITA,Athletics,Athletics,2,0,2
1920,ITA,Boxing,Boxing,0,0,1
1920,ITA,Cycling,Cycling Track,1,0,0
1920,ITA,Equestrian,Eventing,0,1,0
1920,ITA,Equestrian,Jumping,1,1,1
1920,ITA,Fencing,Fencing,5,1,0
1920,ITA,Gymnastics,Artistic G.,2,0,0
1920,ITA,Rowing,Rowing,1,1,0
1920,ITA,Weightlifting,Weightlifting,1,1,0
1920,JPN,Tennis,Tennis,0,2,0
1920,LUX,Weightlifting,Weightlifting,0,1,0
1920,NED,Archery,Archery,1,0,0
1920,NED,Cycling,Cycling Track,1,0,2
1920,NED,Fencing,Fencing,0,0,2
1920,NED,Football,Football,0,0,1
1920,NED,Sailing,Sailing,2,1,0
1920,NED,Tug of War,Tug of War,0,1,0
1920,NOR,Athletics,Athletics,1,0,0
1920,NOR,Boxing,Boxing,0,1,0
1920,NOR,Gymnastics,Artistic G.,0,1,0
1920,NOR,Rowing,Rowing,0,0,2
1920,NOR,Sailing,Sailing,7,4,1
1920,NOR,Shooting,Shooting,5,2,4
1920,NOR,Skating,Figure skating,0,3,1
1920,NOR,Wrestling,Wrestling Gre-R,0,0,1
1920,NZL,Rowing,Rowing,0,0,1
1920,RSA,Athletics,Athletics,1,1,1
1920,RSA,Boxing,Boxing,1,0,0
1920,RSA,Cycling,Cycling Road,0,1,0
1920,RSA,Cycling,Cycling Track,0,1,1
1920,RSA,Shooting,Shooting,0,1,0
1920,RSA,Tennis,Tennis,1,0,1
1920,SUI,Rowing,Rowing,1,0,1
1920,SUI,Shooting,Shooting,0,0,5
1920,SUI,Weightlifting,Weightlifting,0,1,1
1920,SUI,Wrestling,Wrestling Free.,1,1,0
1920,SWE,Aquatics,Diving,1,2,2
1920,SWE,Aquatics,Swimming,2,2,1
1920,SWE,Aquatics,Water polo,0,0,1
1920,SWE,Athletics,Athletics,1,3,10
1920,SWE,Cycling,Cycling Road,1,1,0
1920,SWE,Equestrian,Dressage,1,0,0
1920,SWE,Equestrian,Eventing,1,0,0
1920,SWE,Equestrian,Jumping,1,0,1
1920,SWE,Equestrian,Vaulting,0,0,1
1920,SWE,Gymnastics,Artistic G.,1,0,0
1920,SWE,Modern Pentathlon,Modern Pentath.,1,1,1
1920,SWE,Sailing,Sailing,2,1,0
1920,SWE,Shooting,Shooting,1,6,3
1920,SWE,Skating,Figure skating,2,1,0
1920,SWE,Weightlifting,Weightlifting,0,0,2
1920,SWE,Wrestling,Wrestling Free.,1,1,1
1920,SWE,Wrestling,Wrestling Gre-R,2,0,1
1920,TCH,Ice Hockey,Ice Hockey,0,0,1
1920,TCH,Tennis,Tennis,0,0,2
1920,USA,Aquatics,Diving,3,2,3
1920,USA,Aquatics,Swimming,8,5,3
1920,USA,Athletics,Athletics,9,12,8
1920,USA,Boxing,Boxing,3,0,1
1920,USA,Fencing,Fencing,0,0,1
1920,USA,Ice Hockey,Ice Hockey,0,1,0
1920,USA,Polo,Polo,0,0,1
1920,USA,Rowing,Rowing,3,1,0
1920,USA,Rugby,Rugby,1,0,0
1920,USA,Shooting,Shooting,13,4,6
1920,USA,Skating,Figure skating,0,0,1
1920,USA,Wrestling,Wrestling Free.,1,2,3
1924,ARG,Athletics,Athletics,0,1,0
1924,ARG,Boxing,Boxing,0,2,2
1924,ARG,Polo,Polo,1,0,0
1924,AUS,Aquatics,Diving,1,0,0
1924,AUS,Aquatics,Swimming,1,1,2
1924,AUS,Athletics,Athletics,1,0,0
1924,AUT,Weightlifting,Weightlifting,0,3,1
1924,BEL,Aquatics,Swimming,0,1,0
1924,BEL,Aquatics,Water polo,0,1,0
1924,BEL,Boxing,Boxing,1,0,1
1924,BEL,Cycling,Cycling Road,0,2,0
1924,BEL,Cycling,Cycling Track,0,0,1
1924,BEL,Fencing,Fencing,1,2,1
1924,BEL,Sailing,Sailing,1,0,0
1924,BEL,Wrestling,Wrestling Free.,0,1,0
1924,CAN,Boxing,Boxing,0,0,1
1924,CAN,Rowing,Rowing,0,2,0
1924,CAN,Shooting,Shooting,0,1,0
1924,DEN,Boxing,Boxing,1,2,0
1924,DEN,Cycling,Cycling Track,0,1,0
1924,DEN,Equestrian,Eventing,0,1,0
1924,DEN,Fencing,Fencing,1,0,1
1924,DEN,Sailing,Sailing,0,1,0
1924,DEN,Shooting,Shooting,0,0,1
1924,EST,Athletics,Athletics,0,0,1
1924,EST,Weightlifting,Weightlifting,0,1,2
1924,EST,Wrestling,Wrestling Gre-R,1,0,1
1924,FIN,Athletics,Athletics,10,5,2
1924,FIN,Sailing,Sailing,0,0,1
1924,FIN,Shooting,Shooting,0,1,2
1924,FIN,Wrestling,Wrestling Free.,1,3,2
1924,FIN,Wrestling,Wrestling Gre-R,3,4,3
1924,FRA,Aquatics,Water polo,1,0,0
1924,FRA,Athletics,Athletics,0,0,3
1924,FRA,Boxing,Boxing,0,0,1
1924,FRA,Cycling,Cycling Road,2,0,1
1924,FRA,Cycling,Cycling Track,2,0,1
1924,FRA,Equestrian,Dressage,0,0,1
1924,FRA,Fencing,Fencing,3,3,0
1924,FRA,Gymnastics,Artistic G.,1,3,1
1924,FRA,Rowing,Rowing,0,3,0
1924,FRA,Rugby,Rugby,0,1,0
1924,FRA,Sailing,Sailing,0,0,1
1924,FRA,Shooting,Shooting,1,1,0
1924,FRA,Tennis,Tennis,0,3,1
1924,FRA,Weightlifting,Weightlifting,2,0,0
1924,FRA,Wrestling,Wrestling Gre-R,1,0,0
1924,GBR,Aquatics,Diving,0,0,1
1924,GBR,Aquatics,Swimming,1,2,1
1924,GBR,Athletics,Athletics,3,3,5
1924,GBR,Boxing,Boxing,2,2,0
1924,GBR,Cycling,Cycling Track,0,1,1
1924,GBR,Fencing,Fencing,0,1,0
1924,GBR,Polo,Polo,0,0,1
1924,GBR,Rowing,Rowing,2,0,0
1924,GBR,Sailing,Sailing,0,1,0
1924,GBR,Shooting,Shooting,1,2,0
1924,GBR,Tennis,Tennis,0,1,2
1924,GBR,Wrestling,Wrestling Free.,0,0,1
1924,HAI,Shooting,Shooting,0,0,1
1924,HUN,Aquatics,Swimming,0,0,1
1924,HUN,Athletics,Athletics,0,1,0
1924,HUN,Fencing,Fencing,1,1,2
1924,HUN,Shooting,Shooting,1,0,0
1924,HUN,Wrestling,Wrestling Gre-R,0,1,1
1924,ITA,Athletics,Athletics,1,1,0
1924,ITA,Cycling,Cycling Track,1,0,0
1924,ITA,Equestrian,Eventing,0,0,1
1924,ITA,Equestrian,Jumping,0,1,0
1924,ITA,Fencing,Fencing,1,0,1
1924,ITA,Gymnastics,Artistic G.,2,0,1
1924,ITA,Rowing,Rowing,0,1,1
1924,ITA,Tennis,Tennis,0,0,1
1924,ITA,Weightlifting,Weightlifting,3,0,0
1924,JPN,Wrestling,Wrestling Free.,0,0,1
1924,NED,Athletics,Athletics,0,0,1
1924,NED,Cycling,Cycling Track,1,1,1
1924,NED,Equestrian,Eventing,2,0,0
1924,NED,Fencing,Fencing,0,0,1
1924,NED,Rowing,Rowing,1,0,0
1924,NED,Sailing,Sailing,0,0,1
1924,NED,Tennis,Tennis,0,0,2
1924,NOR,Athletics,Athletics,0,0,1
1924,NOR,Boxing,Boxing,1,0,1
1924,NOR,Sailing,Sailing,2,1,0
1924,NOR,Shooting,Shooting,2,1,1
1924,NZL,Athletics,Athletics,0,0,1
1924,POL,Cycling,Cycling Track,0,1,0
1924,POL,Equestrian,Jumping,0,0,1
1924,POR,Equestrian,Jumping,0,0,1
1924,ROU,Rugby,Rugby,0,0,1
1924,RSA,Athletics,Athletics,0,1,1
1924,RSA,Boxing,Boxing,1,0,0
1924,SUI,Athletics,Athletics,0,2,0
1924,SUI,Equestrian,Jumping,1,1,0
1924,SUI,Football,Football,0,1,0
1924,SUI,Gymnastics,Artistic G.,2,2,3
1924,SUI,Rowing,Rowing,2,0,3
1924,SUI,Shooting,Shooting,0,0,1
1924,SUI,Weightlifting,Weightlifting,0,1,1
1924,SUI,Wrestling,Wrestling Free.,2,1,2
1924,SWE,Aquatics,Diving,0,1,1
1924,SWE,Aquatics,Swimming,0,2,2
1924,SWE,Athletics,Athletics,0,3,2
1924,SWE,Cycling,Cycling Road,0,0,1
1924,SWE,Equestrian,Dressage,1,1,0
1924,SWE,Equestrian,Eventing,0,2,0
1924,SWE,Equestrian,Jumping,1,0,0
1924,SWE,Fencing,Fencing,0,0,1
1924,SWE,Football,Football,0,0,1
1924,SWE,Modern Pentathlon,Modern Pentath.,1,1,1
